,Date,Quantity
1972,2021-06-21,49599.4
1981,2021-06-20,47839.2
1988,2021-06-19,47847.7
1996,2021-06-18,50632.9
2008,2021-06-17,52213.4
2016,2021-06-16,54606.3
2023,2021-06-15,54964.7
2035,2021-06-14,56107.0
2041,2021-06-13,57133.7
2051,2021-06-12,53909.8
2061,2021-06-11,54685.9
2070,2021-06-10,56674.6
2077,2021-06-09,58606.5
2085,2021-06-08,58459.1
2094,2021-06-07,56851.1
2105,2021-06-06,57397.2
2113,2021-06-05,55353.8
2121,2021-06-04,54554.0
2133,2021-06-03,53863.1
2142,2021-06-02,55958.7
2151,2021-06-01,54493.0
2158,2021-05-31,56307.4
2171,2021-05-30,54709.6
2176,2021-05-29,51367.0
2186,2021-05-28,52699.6
2194,2021-05-27,49774.3
2203,2021-05-26,50457.9
2210,2021-05-25,49503.7
2217,2021-05-24,48607.9
2226,2021-05-23,49403.5
2234,2021-05-22,46598.7
2246,2021-05-21,45391.0
2252,2021-05-20,46683.8
2260,2021-05-19,49025.4
2271,2021-05-18,47663.0
2280,2021-05-17,49031.8
2288,2021-05-16,51088.4
2298,2021-05-15,50585.7
2305,2021-05-14,51679.5
2318,2021-05-13,51462.6
2326,2021-05-12,50933.4
2333,2021-05-11,50749.5
2341,2021-05-10,50965.0
2351,2021-05-09,51274.0
2357,2021-05-08,49663.3
2367,2021-05-07,48652.8
2377,2021-05-06,46510.1
2386,2021-05-05,47837.6
2397,2021-05-04,46351.0
2402,2021-05-03,45691.9
2414,2021-05-02,47351.3
2421,2021-05-01,44307.9
2429,2021-04-30,44070.0
2440,2021-04-29,41974.7
2448,2021-04-28,42648.0
2456,2021-04-27,42824.0
2464,2021-04-26,42914.1
2475,2021-04-25,42099.2
2482,2021-04-24,39571.7
2490,2021-04-23,38808.9
2498,2021-04-22,38507.2
2506,2021-04-21,40206.1
2518,2021-04-20,38794.8
2526,2021-04-19,39697.7
2532,2021-04-18,39832.6
2538,2021-04-17,38076.0
2549,2021-04-16,38006.7
2556,2021-04-15,37116.0
2569,2021-04-14,39034.3
2578,2021-04-13,39669.4
2583,2021-04-12,40539.5
2592,2021-04-11,40898.3
2600,2021-04-10,39317.3
2611,2021-04-09,40332.1
2618,2021-04-08,39341.7
2629,2021-04-07,40920.0
2638,2021-04-06,40968.2
2648,2021-04-05,41113.1
2655,2021-04-04,41038.3
2660,2021-04-03,38868.4
2669,2021-04-02,39110.1
2676,2021-04-01,38122.6
2688,2021-03-31,39683.6
2695,2021-03-30,37987.9
2704,2021-03-29,38976.6
2716,2021-03-28,39110.8
2723,2021-03-27,37619.5
2733,2021-03-26,37366.7
2741,2021-03-25,37168.7
2750,2021-03-24,38964.5
2758,2021-03-23,35510.6
2765,2021-03-22,35135.2
2777,2021-03-21,35130.5
2785,2021-03-20,33147.1
2796,2021-03-19,32510.4
2800,2021-03-18,30907.1
2808,2021-03-17,33255.9
2815,2021-03-16,33443.7
2825,2021-03-15,33679.2
2831,2021-03-14,32791.8
2840,2021-03-13,33447.4
2849,2021-03-12,33690.3
2858,2021-03-11,32983.5
2871,2021-03-10,34633.3
2878,2021-03-09,34778.9
2884,2021-03-08,36810.0
2895,2021-03-07,37302.0
2903,2021-03-06,35308.0
2914,2021-03-05,36129.6
2922,2021-03-04,36236.3
2928,2021-03-03,37617.6
2939,2021-03-02,38525.8
2948,2021-03-01,38636.7
2958,2021-02-28,39115.8
2964,2021-02-27,37572.7
2976,2021-02-26,37311.8
2983,2021-02-25,35181.7
2993,2021-02-24,36569.4
3001,2021-02-23,35273.4
3010,2021-02-22,35613.7
3017,2021-02-21,36584.3
3026,2021-02-20,34356.5
3037,2021-02-19,34511.4
3046,2021-02-18,33357.7
3054,2021-02-17,34669.6
3062,2021-02-16,34677.0
3070,2021-02-15,35541.3
3080,2021-02-14,36704.0
3090,2021-02-13,35284.9
3096,2021-02-12,35924.9
3108,2021-02-11,35070.3
3115,2021-02-10,37134.9
3122,2021-02-09,37630.7
3128,2021-02-08,38769.3
