,Date,Quantity
2,2022-02-06,86119.0
12,2022-02-05,117259.5
19,2022-02-04,119644.33333333333
29,2022-02-03,124101.5
36,2022-02-02,122373.4
46,2022-02-01,121188.33333333333
53,2022-01-31,122303.57142857143
61,2022-01-30,116863.375
72,2022-01-29,116584.55555555556
81,2022-01-28,116630.1
88,2022-01-27,116630.1
97,2022-01-26,118525.4
106,2022-01-25,115157.8
115,2022-01-24,113516.9
124,2022-01-23,114205.6
137,2022-01-22,110325.8
143,2022-01-21,111000.9
151,2022-01-20,111624.8
158,2022-01-19,106422.5
167,2022-01-18,97595.8
173,2022-01-17,94552.1
182,2022-01-16,104120.2
191,2022-01-15,99597.0
198,2022-01-14,99552.6
201,2022-01-13,85859.2
204,2022-01-12,80595.7
207,2022-01-11,71703.1
216,2022-01-10,66954.2
224,2022-01-09,80062.2
232,2022-01-08,86720.6
242,2022-01-07,91311.9
248,2022-01-06,75896.2
259,2022-01-05,89219.7
269,2022-01-04,109275.2
278,2022-01-03,140161.8
287,2022-01-02,175489.1
301,2021-12-30,186587.1
306,2021-12-29,178380.0
311,2021-12-28,167826.9
318,2021-12-27,166039.8
328,2021-12-26,176479.6
335,2021-12-25,182971.6
347,2021-12-24,175572.2
358,2021-12-23,158523.9
366,2021-12-22,137526.2
373,2021-12-21,110010.9
385,2021-12-20,107691.3
389,2021-12-19,121019.1
401,2021-12-18,122824.9
406,2021-12-17,125606.4
416,2021-12-16,110393.0
424,2021-12-15,108908.3
434,2021-12-14,105839.4
443,2021-12-13,102942.1
454,2021-12-12,102677.4
460,2021-12-11,97819.9
470,2021-12-10,94131.3
476,2021-12-09,88584.0
485,2021-12-08,89803.0
493,2021-12-07,87591.0
503,2021-12-06,87705.6
511,2021-12-05,88389.9
522,2021-12-04,82978.1
528,2021-12-03,80429.2
536,2021-12-02,77682.5
545,2021-12-01,79365.5
554,2021-11-30,79704.0
565,2021-11-29,79466.0
575,2021-11-28,80350.8
580,2021-11-27,77049.3
593,2021-11-26,75776.1
599,2021-11-25,74214.8
611,2021-11-24,77568.9
616,2021-11-23,77398.9
630,2021-11-22,76074.0
635,2021-11-21,78594.9
643,2021-11-20,75392.6
652,2021-11-19,75100.3
662,2021-11-18,73417.8
670,2021-11-17,75174.9
681,2021-11-16,75453.5
689,2021-11-15,75148.2
698,2021-11-14,75509.0
706,2021-11-13,73704.9
718,2021-11-12,76223.0
725,2021-11-11,75763.4
735,2021-11-10,79383.7
742,2021-11-09,79740.7
750,2021-11-08,82632.9
758,2021-11-07,86430.5
769,2021-11-06,83564.4
777,2021-11-05,86537.1
783,2021-11-04,85857.0
791,2021-11-03,88637.5
797,2021-11-02,89642.4
805,2021-11-01,88054.4
813,2021-10-31,86963.3
824,2021-10-30,85153.5
833,2021-10-29,84857.4
840,2021-10-28,85190.0
851,2021-10-27,91977.7
856,2021-10-26,92483.7
866,2021-10-25,95746.4
874,2021-10-24,99198.7
887,2021-10-23,96693.5
892,2021-10-22,100506.8
903,2021-10-21,102994.6
910,2021-10-20,106689.0
922,2021-10-19,107464.0
929,2021-10-18,109989.2
940,2021-10-17,107894.8
945,2021-10-16,103097.0
955,2021-10-15,103797.1
965,2021-10-14,102204.9
975,2021-10-13,106560.7
982,2021-10-12,106530.1
989,2021-10-11,107263.3
1003,2021-10-10,110844.0
1007,2021-10-09,107217.1
1018,2021-10-08,105895.4
1028,2021-10-07,106166.6
1036,2021-10-06,108621.3
1045,2021-10-05,109701.0
1055,2021-10-04,111590.2
1061,2021-10-03,110612.6
1069,2021-10-02,105853.0
1078,2021-10-01,105221.2
1087,2021-09-30,103245.4
1097,2021-09-29,107504.6
1106,2021-09-28,107856.0
1115,2021-09-27,112045.9
1127,2021-09-26,108746.3
1135,2021-09-25,103812.8
1141,2021-09-24,101824.4
1151,2021-09-23,100847.3
1160,2021-09-22,105653.2
1169,2021-09-21,105065.1
1177,2021-09-20,104478.6
1190,2021-09-19,105712.3
1195,2021-09-18,100732.6
1205,2021-09-17,97070.6
1214,2021-09-16,102131.2
1224,2021-09-15,107268.2
