,Date,Quantity
0,2022-02-06,43413.0
11,2022-02-05,51777.0
20,2022-02-04,52653.333333333336
32,2022-02-03,51959.0
39,2022-02-02,52023.4
43,2022-02-01,53480.5
54,2022-01-31,53545.857142857145
63,2022-01-30,51852.125
73,2022-01-29,52038.666666666664
79,2022-01-28,51078.0
91,2022-01-27,51078.0
98,2022-01-26,51480.7
109,2022-01-25,50088.0
120,2022-01-24,49204.3
125,2022-01-23,49801.1
135,2022-01-22,47264.1
142,2022-01-21,46138.5
152,2022-01-20,46140.4
159,2022-01-19,43255.1
165,2022-01-18,38928.6
174,2022-01-17,38361.0
185,2022-01-16,41104.4
190,2022-01-15,38729.9
199,2022-01-14,37459.3
202,2022-01-13,32172.3
203,2022-01-12,30505.5
210,2022-01-11,26990.8
215,2022-01-10,26249.1
222,2022-01-09,31269.4
233,2022-01-08,34909.4
243,2022-01-07,36527.7
251,2022-01-06,31473.9
260,2022-01-05,39747.0
267,2022-01-04,51404.6
280,2022-01-03,67481.9
284,2022-01-02,84045.5
295,2022-01-01,88120.7
298,2021-12-31,84091.1
304,2021-12-30,78604.6
308,2021-12-29,74930.4
312,2021-12-28,71582.8
322,2021-12-27,72475.6
327,2021-12-26,73186.0
340,2021-12-25,63796.9
346,2021-12-24,53376.1
357,2021-12-23,42604.2
367,2021-12-22,42284.6
372,2021-12-21,46945.4
383,2021-12-20,51940.2
392,2021-12-19,56681.5
402,2021-12-18,58282.0
411,2021-12-17,59697.3
418,2021-12-16,52990.4
427,2021-12-15,52014.3
433,2021-12-14,50174.8
446,2021-12-13,48274.0
455,2021-12-12,48196.5
459,2021-12-11,45336.3
469,2021-12-10,44279.6
475,2021-12-09,42680.4
486,2021-12-08,43070.2
494,2021-12-07,42463.2
502,2021-12-06,42046.0
512,2021-12-05,44135.4
523,2021-12-04,42321.6
529,2021-12-03,42207.9
538,2021-12-02,40961.2
548,2021-12-01,42852.8
553,2021-11-30,41964.1
566,2021-11-29,41836.7
576,2021-11-28,42203.3
582,2021-11-27,40483.4
592,2021-11-26,40687.1
598,2021-11-25,38479.5
612,2021-11-24,40148.4
617,2021-11-23,39456.4
629,2021-11-22,39001.7
634,2021-11-21,39682.7
646,2021-11-20,38758.7
657,2021-11-19,38334.7
665,2021-11-18,37498.6
672,2021-11-17,38326.0
679,2021-11-16,38177.2
691,2021-11-15,37664.6
699,2021-11-14,37742.2
711,2021-11-13,36119.0
719,2021-11-12,36732.2
729,2021-11-11,36287.6
734,2021-11-10,37431.2
746,2021-11-09,37981.4
755,2021-11-08,39996.2
759,2021-11-07,41273.8
770,2021-11-06,39735.1
779,2021-11-05,41120.9
787,2021-11-04,40915.0
789,2021-11-03,43237.6
796,2021-11-02,43225.9
808,2021-11-01,43145.2
814,2021-10-31,43603.5
823,2021-10-30,42631.4
835,2021-10-29,42354.7
843,2021-10-28,43027.0
847,2021-10-27,46454.2
859,2021-10-26,46549.9
870,2021-10-25,48575.5
876,2021-10-24,50399.6
884,2021-10-23,50370.5
894,2021-10-22,51949.8
902,2021-10-21,52932.9
911,2021-10-20,54907.5
919,2021-10-19,55352.2
933,2021-10-18,57161.7
937,2021-10-17,56007.6
947,2021-10-16,54608.2
956,2021-10-15,54907.6
963,2021-10-14,53919.1
977,2021-10-13,56988.9
984,2021-10-12,56319.8
991,2021-10-11,57101.3
999,2021-10-10,58461.3
1009,2021-10-09,56607.8
1017,2021-10-08,56091.1
1027,2021-10-07,56551.8
1037,2021-10-06,57713.8
1046,2021-10-05,57165.5
1056,2021-10-04,57891.9
1062,2021-10-03,56578.7
1074,2021-10-02,54723.9
1079,2021-10-01,54153.3
1088,2021-09-30,53910.7
1099,2021-09-29,55980.2
1105,2021-09-28,56931.3
1114,2021-09-27,58641.8
1129,2021-09-26,56669.2
1136,2021-09-25,55296.8
1143,2021-09-24,54634.8
1150,2021-09-23,53837.9
1162,2021-09-22,56104.9
1168,2021-09-21,56358.3
1179,2021-09-20,55718.3
1189,2021-09-19,56259.9
1196,2021-09-18,52980.8
