,Date,Quantity
4,2022-02-06,28159.0
10,2022-02-05,41480.5
21,2022-02-04,40098.333333333336
31,2022-02-03,41561.75
37,2022-02-02,41382.6
45,2022-02-01,41396.166666666664
57,2022-01-31,42303.71428571428
62,2022-01-30,39652.75
70,2022-01-29,39266.0
80,2022-01-28,38417.8
90,2022-01-27,38417.8
99,2022-01-26,39007.1
110,2022-01-25,37291.9
119,2022-01-24,36522.1
127,2022-01-23,37191.6
133,2022-01-22,35259.3
147,2022-01-21,35102.6
153,2022-01-20,34736.8
160,2022-01-19,33137.9
166,2022-01-18,30614.9
177,2022-01-17,30810.0
183,2022-01-16,34673.6
194,2022-01-15,33697.9
208,2022-01-11,35797.8
214,2022-01-10,31921.2
223,2022-01-09,34422.1
231,2022-01-08,35215.5
244,2022-01-07,35201.7
252,2022-01-06,36539.5
258,2022-01-05,44178.0
270,2022-01-04,51333.4
275,2022-01-03,54736.7
289,2022-01-02,65550.0
294,2022-01-01,65569.0
297,2021-12-31,64197.3
303,2021-12-30,59914.9
307,2021-12-29,55929.0
314,2021-12-28,53038.3
320,2021-12-27,53530.3
331,2021-12-26,53631.5
337,2021-12-25,46808.5
345,2021-12-24,41133.2
355,2021-12-23,32545.3
363,2021-12-22,31003.5
374,2021-12-21,34539.5
384,2021-12-20,38241.7
393,2021-12-19,41742.8
399,2021-12-18,42545.8
408,2021-12-17,43401.3
417,2021-12-16,37517.4
428,2021-12-15,37219.8
436,2021-12-14,35366.2
447,2021-12-13,34100.0
451,2021-12-12,34162.3
462,2021-12-11,32585.1
467,2021-12-10,31628.9
480,2021-12-09,30061.9
484,2021-12-08,30398.1
496,2021-12-07,29706.9
504,2021-12-06,29641.2
514,2021-12-05,30144.6
525,2021-12-04,28495.1
531,2021-12-03,27493.9
539,2021-12-02,26315.6
544,2021-12-01,26490.2
556,2021-11-30,25524.3
562,2021-11-29,25454.5
574,2021-11-28,25887.3
584,2021-11-27,24961.7
591,2021-11-26,24587.6
600,2021-11-25,23640.8
610,2021-11-24,24937.8
619,2021-11-23,25015.5
625,2021-11-22,24938.2
637,2021-11-21,26127.7
645,2021-11-20,25823.8
654,2021-11-19,25685.3
664,2021-11-18,24823.4
675,2021-11-17,25515.3
683,2021-11-16,25204.9
692,2021-11-15,25071.4
697,2021-11-14,25276.8
708,2021-11-13,24535.9
720,2021-11-12,25087.0
728,2021-11-11,24586.5
737,2021-11-10,25822.5
745,2021-11-09,26417.9
752,2021-11-08,27769.7
761,2021-11-07,28806.1
767,2021-11-06,28237.9
775,2021-11-05,29141.3
785,2021-11-04,28711.9
792,2021-11-03,29655.8
799,2021-11-02,29914.3
807,2021-11-01,29759.8
817,2021-10-31,29600.1
825,2021-10-30,28668.7
832,2021-10-29,28604.5
842,2021-10-28,28936.4
848,2021-10-27,30736.2
857,2021-10-26,30299.2
865,2021-10-25,30879.0
878,2021-10-24,31623.5
885,2021-10-23,30756.4
895,2021-10-22,31576.4
901,2021-10-21,31828.5
913,2021-10-20,32651.9
923,2021-10-19,32185.3
932,2021-10-18,32859.5
942,2021-10-17,32445.8
948,2021-10-16,31414.9
959,2021-10-15,31741.1
966,2021-10-14,31412.2
973,2021-10-13,32722.1
986,2021-10-12,32261.7
992,2021-10-11,32663.4
1000,2021-10-10,33763.0
1010,2021-10-09,33019.5
1016,2021-10-08,32660.2
1026,2021-10-07,33002.8
1035,2021-10-06,33838.9
1051,2021-10-05,34294.5
1059,2021-10-04,34467.5
1063,2021-10-03,33866.1
1073,2021-10-02,32031.9
1081,2021-10-01,32020.0
1090,2021-09-30,31020.9
1096,2021-09-29,32496.1
1108,2021-09-28,31626.6
1117,2021-09-27,32251.6
1124,2021-09-26,31025.9
1134,2021-09-25,29116.5
1145,2021-09-24,28865.7
1155,2021-09-23,29061.8
1159,2021-09-22,30919.6
1170,2021-09-21,30200.4
1181,2021-09-20,30382.7
1188,2021-09-19,30295.8
1198,2021-09-18,29442.7
1207,2021-09-17,28832.4
1216,2021-09-16,30105.6
1225,2021-09-15,31651.3
1231,2021-09-14,31374.7
1242,2021-09-13,32051.9
1249,2021-09-12,33339.8
1257,2021-09-11,32819.3
1268,2021-09-10,32144.7
1277,2021-09-09,32170.9
1287,2021-09-08,32765.9
1296,2021-09-07,33382.2
1303,2021-09-06,34284.3
1313,2021-09-05,34606.0
1323,2021-09-04,33853.5
1329,2021-09-03,33982.3
1338,2021-09-02,32924.5
1347,2021-09-01,33920.4
1360,2021-08-31,34657.0
1365,2021-08-30,33956.8
1377,2021-08-29,34530.9
1383,2021-08-28,32415.5
1395,2021-08-27,31354.2
1405,2021-08-26,29936.7
1412,2021-08-25,30798.3
1421,2021-08-24,30411.9
1431,2021-08-23,30410.4
1437,2021-08-22,30869.8
1444,2021-08-21,29643.8
1453,2021-08-20,29696.2
1466,2021-08-19,29410.8
1471,2021-08-18,31090.9
1479,2021-08-17,31430.5
1488,2021-08-16,32210.2
1496,2021-08-15,32821.3
1510,2021-08-14,31247.8
1515,2021-08-13,31393.2
1524,2021-08-12,31352.1
1537,2021-08-11,32578.5
1543,2021-08-10,32998.4
1552,2021-08-09,34004.2
1563,2021-08-08,35934.4
1572,2021-08-07,35325.3
1578,2021-08-06,35779.4
1588,2021-08-05,35092.3
1597,2021-08-04,36205.9
1607,2021-08-03,36134.8
1612,2021-08-02,35684.4
1619,2021-08-01,36204.8
1626,2021-07-31,34747.7
1636,2021-07-30,33712.4
1646,2021-07-29,30850.8
1653,2021-07-28,31618.6
1666,2021-07-27,30997.4
1674,2021-07-26,31698.9
1683,2021-07-25,30686.2
1690,2021-07-24,28970.4
1699,2021-07-23,28991.6
1706,2021-07-22,27544.5
1715,2021-07-21,27959.8
1722,2021-07-20,27313.5
1733,2021-07-19,26260.8
1739,2021-07-18,26143.5
1749,2021-07-17,25235.2
1760,2021-07-16,23687.2
1767,2021-07-15,23216.2
1778,2021-07-14,23513.8
1786,2021-07-13,23321.6
1793,2021-07-12,24322.4
1805,2021-07-11,25399.4
1813,2021-07-10,25302.2
1821,2021-07-09,26822.8
1829,2021-07-08,26470.2
1838,2021-07-07,27420.4
1845,2021-07-06,28434.4
1853,2021-07-05,29504.8
1862,2021-07-04,31690.0
1871,2021-07-03,30578.0
1881,2021-07-02,30757.5
1888,2021-07-01,30328.1
1895,2021-06-30,31662.2
1901,2021-06-29,31476.3
1911,2021-06-28,31310.0
1922,2021-06-27,31900.3
1931,2021-06-26,31313.1
1938,2021-06-25,32142.2
1945,2021-06-24,32182.7
1955,2021-06-23,34771.1
1963,2021-06-22,35994.6
1973,2021-06-21,37700.1
1982,2021-06-20,36487.3
1989,2021-06-19,36232.9
1998,2021-06-18,38671.0
2005,2021-06-17,39752.7
2014,2021-06-16,41503.8
2027,2021-06-15,42120.3
2036,2021-06-14,42903.8
2043,2021-06-13,44103.1
2049,2021-06-12,41515.2
2059,2021-06-11,41666.6
2069,2021-06-10,43409.2
