No,VoucherType,Quantity,Sales,Date
1337,500 Birr,2,1000,9/3/2021
1338,15 Birr,46291,694365,9/2/2021
1339,25 Birr,33034,825850,9/2/2021
1340,50 Birr,10044,502200,9/2/2021
1341,5 Birr,60247,301235,9/2/2021
1342,100 Birr,3781,378100,9/2/2021
1343,10 Birr,111022,1110220,9/2/2021
1344,1000 Birr,8,8000,9/2/2021
1345,500 Birr,13,6500,9/2/2021
1346,250 Birr,9,2250,9/2/2021
1347,50 Birr,13777,688850,9/1/2021
1348,25 Birr,33552,838800,9/1/2021
1349,15 Birr,42981,644715,9/1/2021
1350,10 Birr,126985,1269850,9/1/2021
1351,5 Birr,67852,339260,9/1/2021
1352,1000 Birr,21,21000,9/1/2021
1353,500 Birr,25,12500,9/1/2021
1354,100 Birr,3647,364700,9/1/2021
1355,250 Birr,28,7000,9/1/2021
1356,5 Birr,58572,292860,8/31/2021
1357,10 Birr,121785,1217850,8/31/2021
1358,50 Birr,9690,484500,8/31/2021
1359,100 Birr,3429,342900,8/31/2021
1360,15 Birr,45178,677670,8/31/2021
1361,25 Birr,30065,751625,8/31/2021
1362,500 Birr,14,7000,8/31/2021
1363,1000 Birr,13,13000,8/31/2021
1364,250 Birr,6,1500,8/31/2021
1365,10 Birr,119949,1199490,8/30/2021
1366,25 Birr,34008,850200,8/30/2021
1367,50 Birr,10862,543100,8/30/2021
1368,100 Birr,3374,337400,8/30/2021
1369,15 Birr,47619,714285,8/30/2021
1370,5 Birr,59549,297745,8/30/2021
1371,1000 Birr,17,17000,8/30/2021
1372,250 Birr,8,2000,8/30/2021
1373,500 Birr,5,2500,8/30/2021
1374,10 Birr,65787,657870,8/29/2021
1375,15 Birr,24715,370725,8/29/2021
1376,100 Birr,2189,218900,8/29/2021
1377,50 Birr,6963,348150,8/29/2021
1378,25 Birr,18759,468975,8/29/2021
1379,5 Birr,35561,177805,8/29/2021
1380,1000 Birr,7,7000,8/29/2021
1381,500 Birr,5,2500,8/29/2021
1382,250 Birr,2,500,8/29/2021
1383,15 Birr,52537,788055,8/28/2021
1384,25 Birr,28913,722825,8/28/2021
1385,50 Birr,11799,589950,8/28/2021
1386,10 Birr,119373,1193730,8/28/2021
1387,100 Birr,3723,372300,8/28/2021
1388,5 Birr,59284,296420,8/28/2021
1389,500 Birr,5,2500,8/28/2021
1390,1000 Birr,9,9000,8/28/2021
1391,250 Birr,9,2250,8/28/2021
1392,15 Birr,38534,578010,8/27/2021
1393,50 Birr,11656,582800,8/27/2021
1394,500 Birr,1,500,8/27/2021
1395,10 Birr,90634,906340,8/27/2021
1396,25 Birr,24688,617200,8/27/2021
1397,5 Birr,43980,219900,8/27/2021
1398,100 Birr,3444,344400,8/27/2021
1399,250 Birr,8,2000,8/27/2021
1400,1000 Birr,5,5000,8/27/2021
1401,10 Birr,119549,1195490,8/26/2021
1402,100 Birr,3331,333100,8/26/2021
1403,5 Birr,66681,333405,8/26/2021
1404,15 Birr,48535,728025,8/26/2021
1405,50 Birr,11216,560800,8/26/2021
1406,25 Birr,31983,799575,8/26/2021
1407,250 Birr,8,2000,8/26/2021
1408,500 Birr,10,5000,8/26/2021
1409,1000 Birr,7,7000,8/26/2021
1410,15 Birr,50557,758355,8/25/2021
1411,10 Birr,115426,1154260,8/25/2021
1412,50 Birr,12623,631150,8/25/2021
1413,25 Birr,36141,903525,8/25/2021
1414,5 Birr,58750,293750,8/25/2021
1415,100 Birr,3761,376100,8/25/2021
1416,500 Birr,6,3000,8/25/2021
1417,1000 Birr,9,9000,8/25/2021
1418,250 Birr,3,750,8/25/2021
1419,10 Birr,134389,1343890,8/24/2021
1420,5 Birr,64752,323760,8/24/2021
1421,15 Birr,52516,787740,8/24/2021
1422,25 Birr,32961,824025,8/24/2021
1423,100 Birr,3422,342200,8/24/2021
1424,50 Birr,12631,631550,8/24/2021
1425,250 Birr,4,1000,8/24/2021
1426,500 Birr,4,2000,8/24/2021
1427,1000 Birr,4,4000,8/24/2021
1428,15 Birr,61075,916125,8/23/2021
1429,50 Birr,13265,663250,8/23/2021
1430,10 Birr,146851,1468510,8/23/2021
1431,5 Birr,75815,379075,8/23/2021
1432,25 Birr,37628,940700,8/23/2021
1433,100 Birr,3897,389700,8/23/2021
1434,1000 Birr,7,7000,8/23/2021
1435,500 Birr,11,5500,8/23/2021
1436,250 Birr,4,1000,8/23/2021
1437,50 Birr,6058,302900,8/22/2021
1438,25 Birr,21292,532300,8/22/2021
1439,15 Birr,27230,408450,8/22/2021
1440,5 Birr,39566,197830,8/22/2021
1441,10 Birr,76731,767310,8/22/2021
1442,100 Birr,2664,266400,8/22/2021
1443,1000 Birr,2,2000,8/22/2021
1444,500 Birr,5,2500,8/22/2021
1445,25 Birr,30589,764725,8/21/2021
1446,10 Birr,100625,1006250,8/21/2021
1447,5 Birr,50062,250310,8/21/2021
1448,15 Birr,42255,633825,8/21/2021
1449,100 Birr,4156,415600,8/21/2021
1450,50 Birr,11043,552150,8/21/2021
1451,500 Birr,3,1500,8/21/2021
1452,1000 Birr,2,2000,8/21/2021
1453,15 Birr,39818,597270,8/20/2021
1454,25 Birr,31154,778850,8/20/2021
1455,50 Birr,12819,640950,8/20/2021
1456,100 Birr,3399,339900,8/20/2021
1457,10 Birr,106708,1067080,8/20/2021
1458,5 Birr,66298,331490,8/20/2021
1459,250 Birr,1,250,8/20/2021
1460,1000 Birr,6,6000,8/20/2021
1461,500 Birr,3,1500,8/20/2021
1462,5 Birr,51488,257440,8/19/2021
1463,10 Birr,120247,1202470,8/19/2021
1464,15 Birr,51109,766635,8/19/2021
1465,100 Birr,4863,486300,8/19/2021
1466,50 Birr,14123,706150,8/19/2021
1467,25 Birr,35560,889000,8/19/2021
1468,250 Birr,18,4500,8/19/2021
1469,1000 Birr,11,11000,8/19/2021
1470,500 Birr,4,2000,8/19/2021
1471,15 Birr,48092,721380,8/18/2021
1472,25 Birr,32309,807725,8/18/2021
1473,5 Birr,48872,244360,8/18/2021
1474,50 Birr,14242,712100,8/18/2021
1475,10 Birr,106514,1065140,8/18/2021
1476,100 Birr,4954,495400,8/18/2021
1477,250 Birr,7,1750,8/18/2021
1478,1000 Birr,1,1000,8/18/2021
1479,500 Birr,4,2000,8/18/2021
1480,25 Birr,32485,812125,8/17/2021
1481,5 Birr,60341,301705,8/17/2021
1482,10 Birr,118560,1185600,8/17/2021
1483,15 Birr,44854,672810,8/17/2021
1484,50 Birr,12556,627800,8/17/2021
1485,100 Birr,3854,385400,8/17/2021
1486,250 Birr,6,1500,8/17/2021
1487,500 Birr,14,7000,8/17/2021
1488,1000 Birr,2,2000,8/17/2021
1489,25 Birr,38094,952350,8/16/2021
1490,50 Birr,13903,695150,8/16/2021
1491,5 Birr,58662,293310,8/16/2021
1492,10 Birr,106074,1060740,8/16/2021
1493,15 Birr,47480,712200,8/16/2021
1494,100 Birr,4407,440700,8/16/2021
1495,500 Birr,2,1000,8/16/2021
1496,250 Birr,7,1750,8/16/2021
1497,25 Birr,20406,510150,8/15/2021
1498,5 Birr,38551,192755,8/15/2021
1499,15 Birr,30036,450540,8/15/2021
1500,50 Birr,6489,324450,8/15/2021
1501,100 Birr,2209,220900,8/15/2021
1502,10 Birr,69783,697830,8/15/2021
1503,1000 Birr,6,6000,8/15/2021
1504,500 Birr,5,2500,8/15/2021
1505,250 Birr,3,750,8/15/2021
1506,5 Birr,53460,267300,8/14/2021
1507,50 Birr,13069,653450,8/14/2021
1508,10 Birr,109257,1092570,8/14/2021
1509,15 Birr,44273,664095,8/14/2021
1510,100 Birr,3666,366600,8/14/2021
1511,25 Birr,34415,860375,8/14/2021
1512,250 Birr,5,1250,8/14/2021
1513,1000 Birr,4,4000,8/14/2021
1514,500 Birr,3,1500,8/14/2021
1515,15 Birr,53915,808725,8/13/2021
1516,25 Birr,37217,930425,8/13/2021
1517,50 Birr,12777,638850,8/13/2021
1518,5 Birr,63842,319210,8/13/2021
1519,10 Birr,128588,1285880,8/13/2021
1520,100 Birr,4511,451100,8/13/2021
1521,250 Birr,7,1750,8/13/2021
1522,1000 Birr,7,7000,8/13/2021
1523,500 Birr,3,1500,8/13/2021
1524,50 Birr,13576,678800,8/12/2021
1525,25 Birr,33556,838900,8/12/2021
1526,10 Birr,87004,870040,8/12/2021
1527,5 Birr,50754,253770,8/12/2021
1528,15 Birr,38196,572940,8/12/2021
1529,100 Birr,4169,416900,8/12/2021
1530,500 Birr,7,3500,8/12/2021
1531,250 Birr,12,3000,8/12/2021
1532,1000 Birr,4,4000,8/12/2021
1533,100 Birr,3846,384600,8/11/2021
1534,50 Birr,13174,658700,8/11/2021
1535,5 Birr,55390,276950,8/11/2021
1536,10 Birr,112880,1128800,8/11/2021
1537,15 Birr,45145,677175,8/11/2021
1538,25 Birr,34788,869700,8/11/2021
1539,500 Birr,9,4500,8/11/2021
1540,250 Birr,3,750,8/11/2021
1541,1000 Birr,5,5000,8/11/2021
1542,15 Birr,54449,816735,8/10/2021
1543,10 Birr,128357,1283570,8/10/2021
1544,25 Birr,41212,1030300,8/10/2021
1545,50 Birr,15344,767200,8/10/2021
1546,5 Birr,72838,364190,8/10/2021
1547,100 Birr,4589,458900,8/10/2021
1548,250 Birr,6,1500,8/10/2021
1549,1000 Birr,5,5000,8/10/2021
1550,500 Birr,9,4500,8/10/2021
1551,15 Birr,78635,1179525,8/9/2021
1552,10 Birr,175082,1750820,8/9/2021
1553,25 Birr,54862,1371550,8/9/2021
1554,50 Birr,21431,1071550,8/9/2021
1555,250 Birr,10,2500,8/9/2021
1556,100 Birr,7302,730200,8/9/2021
1557,500 Birr,8,4000,8/9/2021
1558,1000 Birr,5,5000,8/9/2021
1559,5 Birr,55686,278430,8/9/2021
1560,100 Birr,3284,328400,8/8/2021
1561,5 Birr,24383,121915,8/8/2021
1562,10 Birr,76363,763630,8/8/2021
1563,15 Birr,33116,496740,8/8/2021
1564,25 Birr,26218,655450,8/8/2021
1565,50 Birr,8776,438800,8/8/2021
1566,250 Birr,7,1750,8/8/2021
1567,1000 Birr,4,4000,8/8/2021
1568,500 Birr,5,2500,8/8/2021
1569,15 Birr,47748,716220,8/7/2021
1570,10 Birr,120888,1208880,8/7/2021
1571,5 Birr,62926,314630,8/7/2021
1572,50 Birr,14096,704800,8/7/2021
1573,25 Birr,37026,925650,8/7/2021
1574,100 Birr,5321,532100,8/7/2021
1575,1000 Birr,20,20000,8/7/2021
1576,250 Birr,12,3000,8/7/2021
1577,500 Birr,10,5000,8/7/2021
1578,10 Birr,107165,1071650,8/6/2021
1579,25 Birr,31223,780575,8/6/2021
1580,5 Birr,54968,274840,8/6/2021
1581,15 Birr,42330,634950,8/6/2021
1582,50 Birr,10768,538400,8/6/2021
1583,100 Birr,3038,303800,8/6/2021
1584,250 Birr,6,1500,8/6/2021
1585,500 Birr,7,3500,8/6/2021
1586,1000 Birr,6,6000,8/6/2021
1587,10 Birr,107808,1078080,8/5/2021
1588,5 Birr,50379,251895,8/5/2021
1589,25 Birr,31542,788550,8/5/2021
1590,15 Birr,46390,695850,8/5/2021
1591,50 Birr,12143,607150,8/5/2021
1592,100 Birr,3523,352300,8/5/2021
1593,500 Birr,6,3000,8/5/2021
1594,1000 Birr,6,6000,8/5/2021
1595,250 Birr,26,6500,8/5/2021
1596,10 Birr,114981,1149810,8/4/2021
1597,5 Birr,64223,321115,8/4/2021
1598,25 Birr,33704,842600,8/4/2021
1599,15 Birr,44187,662805,8/4/2021
1600,100 Birr,4544,454400,8/4/2021
1601,50 Birr,11984,599200,8/4/2021
1602,500 Birr,9,4500,8/4/2021
1603,1000 Birr,6,6000,8/4/2021
1604,5 Birr,59582,297910,8/3/2021
1605,10 Birr,112668,1126680,8/3/2021
1606,15 Birr,44428,666420,8/3/2021
1607,100 Birr,3979,397900,8/3/2021
1608,25 Birr,32713,817825,8/3/2021
1609,50 Birr,12479,623950,8/3/2021
1610,50 Birr,13370,668500,8/2/2021
1611,100 Birr,4148,414800,8/2/2021
1612,5 Birr,59857,299285,8/2/2021
1613,25 Birr,38760,969000,8/2/2021
1614,10 Birr,109620,1096200,8/2/2021
1615,15 Birr,52023,780345,8/2/2021
1616,500 Birr,36,18000,8/2/2021
1617,250 Birr,40,10000,8/2/2021
1618,15 Birr,28253,423795,8/1/2021
1619,10 Birr,63568,635680,8/1/2021
1620,25 Birr,20217,505425,8/1/2021
1621,50 Birr,6171,308550,8/1/2021
1622,5 Birr,30468,152340,8/1/2021
1623,100 Birr,1824,182400,8/1/2021
1624,1000 Birr,16,16000,8/1/2021
1625,500 Birr,23,11500,8/1/2021
1626,250 Birr,2,500,8/1/2021
1627,25 Birr,30859,771475,7/31/2021
1628,15 Birr,41361,620415,7/31/2021
1629,10 Birr,90603,906030,7/31/2021
1630,5 Birr,44968,224840,7/31/2021
1631,100 Birr,3732,373200,7/31/2021
1632,50 Birr,11700,585000,7/31/2021
1633,1000 Birr,13,13000,7/31/2021
1634,500 Birr,22,11000,7/31/2021
1635,250 Birr,12,3000,7/31/2021
1636,15 Birr,34155,512325,7/30/2021
1637,25 Birr,26246,656150,7/30/2021
1638,100 Birr,4213,421300,7/30/2021
1639,5 Birr,37751,188755,7/30/2021
1640,50 Birr,10383,519150,7/30/2021
1641,10 Birr,91369,913690,7/30/2021
1642,250 Birr,4,1000,7/30/2021
1643,1000 Birr,9,9000,7/30/2021
1644,500 Birr,5,2500,7/30/2021
1645,15 Birr,42316,634740,7/29/2021
1646,10 Birr,94505,945050,7/29/2021
1647,25 Birr,33896,847400,7/29/2021
1648,50 Birr,11736,586800,7/29/2021
1649,5 Birr,44086,220430,7/29/2021
1650,100 Birr,4164,416400,7/29/2021
1651,250 Birr,5,1250,7/29/2021
1652,500 Birr,13,6500,7/29/2021
1653,1000 Birr,1,1000,7/29/2021
1654,25 Birr,30814,770350,7/28/2021
1655,10 Birr,112083,1120830,7/28/2021
1656,5 Birr,51734,258670,7/28/2021
1657,15 Birr,44409,666135,7/28/2021
1658,50 Birr,12121,606050,7/28/2021
1659,100 Birr,4377,437700,7/28/2021
1660,500 Birr,7,3500,7/28/2021
1661,1000 Birr,4,4000,7/28/2021
1662,250 Birr,5,1250,7/28/2021
1663,10 Birr,109832,1098320,7/27/2021
1664,15 Birr,51351,770265,7/27/2021
1665,5 Birr,60373,301865,7/27/2021
1666,50 Birr,12652,632600,7/27/2021
1667,25 Birr,38238,955950,7/27/2021
1668,250 Birr,12,3000,7/27/2021
1669,1000 Birr,5,5000,7/27/2021
1670,500 Birr,6,3000,7/27/2021
1671,100 Birr,6102,610200,7/27/2021
1672,10 Birr,62433,624330,7/26/2021
1673,5 Birr,34192,170960,7/26/2021
1674,15 Birr,27582,413730,7/26/2021
1675,25 Birr,21415,535375,7/26/2021
1676,50 Birr,10412,520600,7/26/2021
1677,250 Birr,6,1500,7/26/2021
1678,1000 Birr,3,3000,7/26/2021
1679,500 Birr,5,2500,7/26/2021
1680,10 Birr,56867,568670,7/25/2021
1681,5 Birr,25900,129500,7/25/2021
1682,15 Birr,26030,390450,7/25/2021
1683,50 Birr,6502,325100,7/25/2021
1684,25 Birr,16546,413650,7/25/2021
1685,500 Birr,6,3000,7/25/2021
1686,250 Birr,6,1500,7/25/2021
1687,1000 Birr,2,2000,7/25/2021
1688,5 Birr,53210,266050,7/24/2021
1689,15 Birr,39239,588585,7/24/2021
1690,10 Birr,105008,1050080,7/24/2021
1691,25 Birr,32925,823125,7/24/2021
1692,50 Birr,13230,661500,7/24/2021
1693,100 Birr,4702,470200,7/24/2021
1694,500 Birr,7,3500,7/24/2021
1695,1000 Birr,6,6000,7/24/2021
1696,250 Birr,4,1000,7/24/2021
1697,5 Birr,40635,203175,7/23/2021
1698,10 Birr,75203,752030,7/23/2021
1699,15 Birr,34378,515670,7/23/2021
1700,25 Birr,24289,607225,7/23/2021
1701,50 Birr,9368,468400,7/23/2021
1702,100 Birr,2682,268200,7/23/2021
1703,500 Birr,6,3000,7/23/2021
1704,250 Birr,4,1000,7/23/2021
1705,10 Birr,79148,791480,7/22/2021
1706,100 Birr,3677,367700,7/22/2021
1707,25 Birr,24370,609250,7/22/2021
1708,15 Birr,34347,515205,7/22/2021
1709,5 Birr,40418,202090,7/22/2021
1710,50 Birr,9320,466000,7/22/2021
1711,250 Birr,9,2250,7/22/2021
1712,1000 Birr,6,6000,7/22/2021
1713,500 Birr,5,2500,7/22/2021
1714,10 Birr,85690,856900,7/21/2021
1715,15 Birr,33360,500400,7/21/2021
1716,25 Birr,24396,609900,7/21/2021
1717,50 Birr,8840,442000,7/21/2021
1718,5 Birr,42688,213440,7/21/2021
1719,100 Birr,2583,258300,7/21/2021
1720,500 Birr,5,2500,7/21/2021
1721,1000 Birr,3,3000,7/21/2021
1722,250 Birr,4,1000,7/21/2021
1723,25 Birr,15719,392975,7/20/2021
1724,15 Birr,20560,308400,7/20/2021
1725,50 Birr,6369,318450,7/20/2021
1726,10 Birr,40454,404540,7/20/2021
1727,100 Birr,1823,182300,7/20/2021
1728,5 Birr,18816,94080,7/20/2021
1729,1000 Birr,1,1000,7/20/2021
1730,250 Birr,2,500,7/20/2021
1731,500 Birr,58,29000,7/20/2021
1732,10 Birr,98538,985380,7/19/2021
1733,15 Birr,40224,603360,7/19/2021
1734,25 Birr,32723,818075,7/19/2021
1735,5 Birr,50592,252960,7/19/2021
1736,50 Birr,12170,608500,7/19/2021
1737,100 Birr,4761,476100,7/19/2021
1738,250 Birr,4,1000,7/19/2021
1739,1000 Birr,4,4000,7/19/2021
1740,25 Birr,21731,543275,7/18/2021
1741,5 Birr,33112,165560,7/18/2021
1742,10 Birr,72892,728920,7/18/2021
1743,50 Birr,7159,357950,7/18/2021
1744,100 Birr,2176,217600,7/18/2021
1745,15 Birr,29159,437385,7/18/2021
1746,250 Birr,6,1500,7/18/2021
1747,500 Birr,3,1500,7/18/2021
1748,1000 Birr,1,1000,7/18/2021
1749,5 Birr,43141,215705,7/17/2021
1750,25 Birr,22758,568950,7/17/2021
1751,10 Birr,87182,871820,7/17/2021
1752,15 Birr,32338,485070,7/17/2021
1753,100 Birr,3090,309000,7/17/2021
1754,50 Birr,10443,522150,7/17/2021
1755,500 Birr,4,2000,7/17/2021
1756,1000 Birr,6,6000,7/17/2021
1757,250 Birr,4,1000,7/17/2021
1758,10 Birr,60227,602270,7/16/2021
1759,5 Birr,33522,167610,7/16/2021
1760,15 Birr,25311,379665,7/16/2021
1761,25 Birr,16705,417625,7/16/2021
1762,50 Birr,6547,327350,7/16/2021
1763,100 Birr,2489,248900,7/16/2021
1764,1000 Birr,21,21000,7/16/2021
1765,250 Birr,81,20250,7/16/2021
1766,500 Birr,41,20500,7/16/2021
1767,50 Birr,7203,360150,7/15/2021
1768,25 Birr,19522,488050,7/15/2021
1769,5 Birr,31895,159475,7/15/2021
1770,10 Birr,64029,640290,7/15/2021
1771,15 Birr,27158,407370,7/15/2021
1772,100 Birr,2253,225300,7/15/2021
1773,500 Birr,52,26000,7/15/2021
1774,250 Birr,6,1500,7/15/2021
1775,1000 Birr,2,2000,7/15/2021
1776,10 Birr,87461,874610,7/14/2021
1777,15 Birr,38738,581070,7/14/2021
1778,5 Birr,46255,231275,7/14/2021
1779,25 Birr,31003,775075,7/14/2021
1780,100 Birr,3962,396200,7/14/2021
1781,50 Birr,11073,553650,7/14/2021
1782,250 Birr,3,750,7/14/2021
1783,1000 Birr,2,2000,7/14/2021
1784,10 Birr,105554,1055540,7/13/2021
1785,5 Birr,54874,274370,7/13/2021
1786,15 Birr,47212,708180,7/13/2021
1787,25 Birr,34297,857425,7/13/2021
1788,50 Birr,12676,633800,7/13/2021
1789,100 Birr,4021,402100,7/13/2021
1790,500 Birr,16,8000,7/13/2021
1791,250 Birr,15,3750,7/13/2021
1792,1000 Birr,24,24000,7/13/2021
1793,15 Birr,48055,720825,7/12/2021
1794,25 Birr,35140,878500,7/12/2021
1795,5 Birr,52320,261600,7/12/2021
1796,10 Birr,104540,1045400,7/12/2021
1797,50 Birr,12661,633050,7/12/2021
1798,100 Birr,3526,352600,7/12/2021
1799,250 Birr,6,1500,7/12/2021
1800,1000 Birr,3,3000,7/12/2021
1801,500 Birr,3,1500,7/12/2021
1802,50 Birr,7424,371200,7/11/2021
1803,5 Birr,39718,198590,7/11/2021
1804,10 Birr,72366,723660,7/11/2021
1805,15 Birr,27865,417975,7/11/2021
1806,25 Birr,23424,585600,7/11/2021
1807,100 Birr,2627,262700,7/11/2021
1808,250 Birr,16,4000,7/11/2021
1809,500 Birr,4,2000,7/11/2021
1810,1000 Birr,14,14000,7/11/2021
1811,10 Birr,125261,1252610,7/10/2021
1812,5 Birr,57177,285885,7/10/2021
1813,15 Birr,39999,599985,7/10/2021
1814,25 Birr,30925,773125,7/10/2021
1815,100 Birr,4796,479600,7/10/2021
1816,50 Birr,13719,685950,7/10/2021
1817,1000 Birr,11,11000,7/10/2021
1818,250 Birr,13,3250,7/10/2021
1819,5 Birr,62359,311795,7/9/2021
1820,50 Birr,12182,609100,7/9/2021
1821,100 Birr,3829,382900,7/9/2021
1822,25 Birr,29197,729925,7/9/2021
1823,10 Birr,94110,941100,7/9/2021
1824,15 Birr,37936,569040,7/9/2021
1825,250 Birr,3,750,7/9/2021
1826,500 Birr,3,1500,7/9/2021
1827,10 Birr,109507,1095070,7/8/2021
1828,50 Birr,10490,524500,7/8/2021
1829,5 Birr,56694,283470,7/8/2021
1830,25 Birr,31233,780825,7/8/2021
1831,100 Birr,3525,352500,7/8/2021
1832,15 Birr,41980,629700,7/8/2021
1833,1000 Birr,1,1000,7/8/2021
1834,500 Birr,27,13500,7/8/2021
1835,250 Birr,3,750,7/8/2021
1836,15 Birr,47589,713835,7/7/2021
1837,10 Birr,109179,1091790,7/7/2021
1838,50 Birr,11610,580500,7/7/2021
1839,25 Birr,32898,822450,7/7/2021
1840,5 Birr,52003,260015,7/7/2021
1841,100 Birr,2958,295800,7/7/2021
1842,250 Birr,13,3250,7/7/2021
1843,1000 Birr,11,11000,7/7/2021
1844,500 Birr,5,2500,7/7/2021
1845,10 Birr,114812,1148120,7/6/2021
1846,25 Birr,27409,685225,7/6/2021
1847,5 Birr,59111,295555,7/6/2021
1848,15 Birr,43894,658410,7/6/2021
1849,50 Birr,13908,695400,7/6/2021
1850,100 Birr,4459,445900,7/6/2021
1851,1000 Birr,1,1000,7/6/2021
1852,250 Birr,12,3000,7/6/2021
1853,500 Birr,4,2000,7/6/2021
1854,25 Birr,41374,1034350,7/5/2021
1855,15 Birr,49935,749025,7/5/2021
1856,100 Birr,3671,367100,7/5/2021
1857,10 Birr,131864,1318640,7/5/2021
1858,50 Birr,12611,630550,7/5/2021
1859,5 Birr,66880,334400,7/5/2021
1860,1000 Birr,6,6000,7/5/2021
1861,500 Birr,4,2000,7/5/2021
1862,250 Birr,4,1000,7/5/2021
1863,25 Birr,19883,497075,7/4/2021
1864,10 Birr,65553,655530,7/4/2021
1865,50 Birr,7054,352700,7/4/2021
1866,100 Birr,2371,237100,7/4/2021
1867,5 Birr,37629,188145,7/4/2021
1868,15 Birr,29348,440220,7/4/2021
1869,500 Birr,30,15000,7/4/2021
1870,250 Birr,6,1500,7/4/2021
1871,1000 Birr,3,3000,7/4/2021
1872,25 Birr,36092,902300,7/3/2021
1873,15 Birr,51553,773295,7/3/2021
1874,5 Birr,50003,250015,7/3/2021
1875,10 Birr,116411,1164110,7/3/2021
1876,100 Birr,4932,493200,7/3/2021
1877,50 Birr,12452,622600,7/3/2021
1878,1000 Birr,21,21000,7/3/2021
1879,500 Birr,4,2000,7/3/2021
1880,250 Birr,6,1500,7/3/2021
1881,15 Birr,41490,622350,7/2/2021
1882,25 Birr,30846,771150,7/2/2021
1883,50 Birr,11624,581200,7/2/2021
1884,5 Birr,48024,240120,7/2/2021
1885,10 Birr,116180,1161800,7/2/2021
1886,100 Birr,3810,381000,7/2/2021
1887,10 Birr,131752,1317520,7/1/2021
1888,15 Birr,49684,745260,7/1/2021
1889,25 Birr,36765,919125,7/1/2021
1890,250 Birr,40,10000,7/1/2021
1891,100 Birr,4610,461000,7/1/2021
1892,5 Birr,83120,415600,7/1/2021
1893,50 Birr,12664,633200,7/1/2021
1894,15 Birr,36377,545655,6/30/2021
1895,10 Birr,100310,1003100,6/30/2021
1896,25 Birr,29066,726650,6/30/2021
1897,100 Birr,3643,364300,6/30/2021
1898,5 Birr,56437,282185,6/30/2021
1899,50 Birr,11177,558850,6/30/2021
1900,500 Birr,12,6000,6/30/2021
1901,250 Birr,34,8500,6/30/2021
1902,25 Birr,27534,688350,6/29/2021
1903,10 Birr,98247,982470,6/29/2021
1904,50 Birr,11616,580800,6/29/2021
1905,100 Birr,4571,457100,6/29/2021
1906,5 Birr,58395,291975,6/29/2021
1907,15 Birr,37662,564930,6/29/2021
1908,1000 Birr,5,5000,6/29/2021
1909,250 Birr,7,1750,6/29/2021
1910,500 Birr,6,3000,6/29/2021
1911,15 Birr,51053,765795,6/28/2021
1912,25 Birr,37136,928400,6/28/2021
1913,50 Birr,14100,705000,6/28/2021
1914,100 Birr,4441,444100,6/28/2021
1915,5 Birr,45682,228410,6/28/2021
1916,10 Birr,107582,1075820,6/28/2021
1917,1000 Birr,6,6000,6/28/2021
1918,250 Birr,9,2250,6/28/2021
1919,500 Birr,27,13500,6/28/2021
1920,15 Birr,34989,524835,6/27/2021
1921,5 Birr,34414,172070,6/27/2021
1922,10 Birr,81514,815140,6/27/2021
1923,25 Birr,27026,675650,6/27/2021
1924,100 Birr,3121,312100,6/27/2021
1925,50 Birr,10084,504200,6/27/2021
1926,250 Birr,8,2000,6/27/2021
1927,1000 Birr,2,2000,6/27/2021
1928,10 Birr,123799,1237990,6/26/2021
1929,50 Birr,14752,737600,6/26/2021
1930,5 Birr,64293,321465,6/26/2021
1931,15 Birr,50081,751215,6/26/2021
1932,25 Birr,35700,892500,6/26/2021
1933,100 Birr,5230,523000,6/26/2021
1934,500 Birr,7,3500,6/26/2021
1935,1000 Birr,9,9000,6/26/2021
1936,250 Birr,2,500,6/26/2021
1937,10 Birr,117813,1178130,6/25/2021
1938,15 Birr,53194,797910,6/25/2021
1939,25 Birr,41779,1044475,6/25/2021
1940,50 Birr,16274,813700,6/25/2021
1941,100 Birr,4884,488400,6/25/2021
1942,5 Birr,54386,271930,6/25/2021
1943,250 Birr,7,1750,6/25/2021
1944,1000 Birr,3,3000,6/25/2021
1945,500 Birr,3,1500,6/25/2021
1946,25 Birr,45767,1144175,6/24/2021
1947,5 Birr,66520,332600,6/24/2021
1948,10 Birr,132177,1321770,6/24/2021
1949,15 Birr,57210,858150,6/24/2021
1950,50 Birr,14981,749050,6/24/2021
1951,100 Birr,4706,470600,6/24/2021
1952,1000 Birr,7,7000,6/24/2021
1953,250 Birr,6,1500,6/24/2021
1954,500 Birr,63,31500,6/24/2021
1955,5 Birr,73300,366500,6/23/2021
1956,25 Birr,48327,1208175,6/23/2021
1957,100 Birr,4166,416600,6/23/2021
1958,50 Birr,17213,860650,6/23/2021
1959,15 Birr,61189,917835,6/23/2021
1960,10 Birr,149622,1496220,6/23/2021
1961,1000 Birr,12,12000,6/23/2021
1962,250 Birr,4,1000,6/23/2021
1963,15 Birr,64555,968325,6/22/2021
1964,25 Birr,47901,1197525,6/22/2021
1965,50 Birr,15644,782200,6/22/2021
1966,10 Birr,157561,1575610,6/22/2021
1967,5 Birr,85750,428750,6/22/2021
1968,100 Birr,5123,512300,6/22/2021
1969,250 Birr,11,2750,6/22/2021
1970,1000 Birr,9,9000,6/22/2021
1971,10 Birr,74055,740550,6/21/2021
1972,5 Birr,42569,212845,6/21/2021
1973,15 Birr,32082,481230,6/21/2021
1974,25 Birr,24637,615925,6/21/2021
1975,50 Birr,11393,569650,6/21/2021
