No,VoucherType,Quantity,Sales,Date
133,1000 Birr,5,5000,1/23/2022
134,25 Birr,39897,997425,1/22/2022
135,15 Birr,48689,730335,1/22/2022
136,5 Birr,49510,247550,1/22/2022
137,250 Birr,6,1500,1/22/2022
138,10 Birr,122014,1220140,1/22/2022
139,100 Birr,4055,405500,1/22/2022
140,50 Birr,13297,664850,1/22/2022
141,500 Birr,9,4500,1/22/2022
142,1000 Birr,2,2000,1/22/2022
143,5 Birr,53957,269785,1/21/2022
144,10 Birr,135234,1352340,1/21/2022
145,100 Birr,4803,480300,1/21/2022
146,50 Birr,16335,816750,1/21/2022
147,250 Birr,2,500,1/21/2022
148,25 Birr,44091,1102275,1/21/2022
149,15 Birr,72382,1085730,1/21/2022
150,1000 Birr,3,3000,1/21/2022
151,500 Birr,2,1000,1/21/2022
152,10 Birr,26759,267590,1/20/2022
153,5 Birr,11143,55715,1/20/2022
154,25 Birr,5107,127675,1/20/2022
155,50 Birr,2622,131100,1/20/2022
156,100 Birr,790,79000,1/20/2022
157,250 Birr,1,250,1/20/2022
158,1000 Birr,1,1000,1/20/2022
159,10 Birr,26087,260870,1/19/2022
160,5 Birr,10266,51330,1/19/2022
161,25 Birr,10942,273550,1/19/2022
162,50 Birr,3790,189500,1/19/2022
163,100 Birr,1277,127700,1/19/2022
164,250 Birr,4,1000,1/19/2022
165,1000 Birr,1,1000,1/19/2022
166,5 Birr,36756,183780,1/18/2022
167,25 Birr,32735,818375,1/18/2022
168,10 Birr,86603,866030,1/18/2022
169,15 Birr,8087,121305,1/18/2022
170,100 Birr,3611,361100,1/18/2022
171,50 Birr,11496,574800,1/18/2022
172,250 Birr,3,750,1/18/2022
173,500 Birr,1,500,1/18/2022
174,10 Birr,200753,2007530,1/17/2022
175,5 Birr,74874,374370,1/17/2022
176,100 Birr,6534,653400,1/17/2022
177,50 Birr,20876,1043800,1/17/2022
178,25 Birr,72688,1817200,1/17/2022
179,15 Birr,92461,1386915,1/17/2022
180,500 Birr,7,3500,1/17/2022
181,250 Birr,2,500,1/17/2022
182,1000 Birr,1,1000,1/17/2022
183,10 Birr,69492,694920,1/16/2022
184,25 Birr,27893,697325,1/16/2022
185,15 Birr,39256,588840,1/16/2022
186,5 Birr,22469,112345,1/16/2022
187,50 Birr,10328,516400,1/16/2022
188,100 Birr,2932,293200,1/16/2022
189,1000 Birr,2,2000,1/16/2022
190,250 Birr,4,1000,1/16/2022
191,5 Birr,32863,164315,1/15/2022
192,10 Birr,107561,1075610,1/15/2022
193,1000 Birr,2,2000,1/15/2022
194,15 Birr,60196,902940,1/15/2022
195,25 Birr,50635,1265875,1/15/2022
196,50 Birr,17397,869850,1/15/2022
197,100 Birr,7126,712600,1/15/2022
198,250 Birr,2,500,1/15/2022
199,10 Birr,7426,74260,1/14/2022
200,5 Birr,2974,14870,1/14/2022
201,1000 Birr,2,2000,1/14/2022
202,10 Birr,24028,240280,1/13/2022
203,5 Birr,10243,51215,1/13/2022
204,5 Birr,14363,71815,1/12/2022
205,10 Birr,33088,330880,1/12/2022
206,250 Birr,9,2250,1/12/2022
207,1000 Birr,4,4000,1/12/2022
208,10 Birr,87745,877450,1/11/2022
209,25 Birr,13881,347025,1/11/2022
210,50 Birr,1838,91900,1/11/2022
211,5 Birr,46540,232700,1/11/2022
212,250 Birr,14,3500,1/11/2022
213,500 Birr,35,17500,1/11/2022
214,1000 Birr,1,1000,1/11/2022
215,25 Birr,46352,1158800,1/10/2022
216,5 Birr,61346,306730,1/10/2022
217,10 Birr,157839,1578390,1/10/2022
218,100 Birr,1832,183200,1/10/2022
219,250 Birr,10,2500,1/10/2022
220,50 Birr,16529,826450,1/10/2022
221,500 Birr,5,2500,1/10/2022
222,1000 Birr,2,2000,1/10/2022
223,5 Birr,46666,233330,1/9/2022
224,25 Birr,47831,1195775,1/9/2022
225,10 Birr,92671,926710,1/9/2022
226,100 Birr,4341,434100,1/9/2022
227,15 Birr,55851,837765,1/9/2022
228,50 Birr,20865,1043250,1/9/2022
229,500 Birr,3,1500,1/9/2022
230,250 Birr,5,1250,1/9/2022
231,1000 Birr,2,2000,1/9/2022
232,25 Birr,43953,1098825,1/8/2022
233,10 Birr,132516,1325160,1/8/2022
234,5 Birr,52939,264695,1/8/2022
235,50 Birr,16516,825800,1/8/2022
236,250 Birr,7,1750,1/8/2022
237,500 Birr,7,3500,1/8/2022
238,15 Birr,44149,662235,1/8/2022
239,100 Birr,3827,382700,1/8/2022
240,50 Birr,7483,374150,1/7/2022
241,100 Birr,1797,179700,1/7/2022
242,15 Birr,5906,88590,1/7/2022
243,10 Birr,46596,465960,1/7/2022
244,5 Birr,24336,121680,1/7/2022
245,25 Birr,18485,462125,1/7/2022
246,1000 Birr,5,5000,1/7/2022
247,250 Birr,7,1750,1/7/2022
248,500 Birr,3,1500,1/7/2022
249,10 Birr,202727,2027270,1/6/2022
250,15 Birr,133747,2006205,1/6/2022
251,50 Birr,35271,1763550,1/6/2022
252,5 Birr,105200,526000,1/6/2022
253,25 Birr,87327,2183175,1/6/2022
254,100 Birr,9932,993200,1/6/2022
255,1000 Birr,26,26000,1/6/2022
256,500 Birr,4,2000,1/6/2022
257,250 Birr,6,1500,1/6/2022
258,15 Birr,104348,1565220,1/5/2022
259,25 Birr,104289,2607225,1/5/2022
260,10 Birr,308116,3081160,1/5/2022
261,5 Birr,149439,747195,1/5/2022
262,50 Birr,32522,1626100,1/5/2022
263,100 Birr,9310,931000,1/5/2022
264,250 Birr,13,3250,1/5/2022
265,500 Birr,10,5000,1/5/2022
266,1000 Birr,6,6000,1/5/2022
267,50 Birr,36812,1840600,1/4/2022
268,5 Birr,163747,818735,1/4/2022
269,100 Birr,10682,1068200,1/4/2022
270,10 Birr,316292,3162920,1/4/2022
271,25 Birr,106721,2668025,1/4/2022
272,250 Birr,20,5000,1/4/2022
273,1000 Birr,18,18000,1/4/2022
274,15 Birr,150999,2264985,1/4/2022
275,500 Birr,26,13000,1/4/2022
276,25 Birr,136026,3400650,1/3/2022
277,15 Birr,126959,1904385,1/3/2022
278,50 Birr,47627,2381350,1/3/2022
279,10 Birr,377301,3773010,1/3/2022
280,100 Birr,14088,1408800,1/3/2022
281,5 Birr,175879,879395,1/3/2022
282,250 Birr,12,3000,1/3/2022
283,1000 Birr,12,12000,1/3/2022
284,500 Birr,9,4500,1/3/2022
285,5 Birr,55115,275575,1/2/2022
286,50 Birr,17599,879950,1/2/2022
287,100 Birr,5611,561100,1/2/2022
288,10 Birr,144068,1440680,1/2/2022
289,15 Birr,73041,1095615,1/2/2022
290,25 Birr,50825,1270625,1/2/2022
291,250 Birr,5,1250,1/2/2022
292,1000 Birr,3,3000,1/2/2022
293,500 Birr,4,2000,1/2/2022
294,50 Birr,1915,95750,1/1/2022
295,25 Birr,164,4100,1/1/2022
296,5 Birr,6244,31220,1/1/2022
297,100 Birr,399,39900,1/1/2022
298,25 Birr,3528,88200,12/31/2021
299,5 Birr,6481,32405,12/31/2021
300,50 Birr,1303,65150,12/31/2021
301,100 Birr,344,34400,12/31/2021
302,10 Birr,5674,56740,12/30/2021
303,50 Birr,2873,143650,12/30/2021
304,25 Birr,7972,199300,12/30/2021
305,5 Birr,9924,49620,12/30/2021
306,100 Birr,924,92400,12/30/2021
307,10 Birr,52308,523080,12/29/2021
308,25 Birr,15046,376150,12/29/2021
309,5 Birr,19463,97315,12/29/2021
310,50 Birr,5357,267850,12/29/2021
311,100 Birr,2497,249700,12/29/2021
312,10 Birr,74800,748000,12/28/2021
313,5 Birr,33264,166320,12/28/2021
314,15 Birr,23806,357090,12/28/2021
315,25 Birr,23405,585125,12/28/2021
316,50 Birr,9750,487500,12/28/2021
317,100 Birr,2860,286000,12/28/2021
318,1000 Birr,3,3000,12/28/2021
319,10 Birr,236914,2369140,12/27/2021
320,15 Birr,105787,1586805,12/27/2021
321,25 Birr,88339,2208475,12/27/2021
322,100 Birr,9613,961300,12/27/2021
323,5 Birr,112304,561520,12/27/2021
324,50 Birr,29784,1489200,12/27/2021
325,1000 Birr,9,9000,12/27/2021
326,250 Birr,7,1750,12/27/2021
327,100 Birr,3936,393600,12/26/2021
328,5 Birr,55548,277740,12/26/2021
329,10 Birr,111516,1115160,12/26/2021
330,15 Birr,50138,752070,12/26/2021
331,50 Birr,12563,628150,12/26/2021
332,25 Birr,36059,901475,12/26/2021
333,500 Birr,2,1000,12/26/2021
334,250 Birr,25,6250,12/26/2021
335,1000 Birr,3,3000,12/26/2021
336,10 Birr,128733,1287330,12/25/2021
337,50 Birr,17677,883850,12/25/2021
338,25 Birr,49968,1249200,12/25/2021
339,500 Birr,21,10500,12/25/2021
340,15 Birr,71016,1065240,12/25/2021
341,5 Birr,59539,297695,12/25/2021
342,100 Birr,5760,576000,12/25/2021
343,250 Birr,9,2250,12/25/2021
344,1000 Birr,5,5000,12/25/2021
345,15 Birr,63879,958185,12/24/2021
346,25 Birr,50147,1253675,12/24/2021
347,5 Birr,68160,340800,12/24/2021
348,10 Birr,137633,1376330,12/24/2021
349,50 Birr,19241,962050,12/24/2021
350,100 Birr,6237,623700,12/24/2021
351,250 Birr,11,2750,12/24/2021
352,500 Birr,7,3500,12/24/2021
353,1000 Birr,2,2000,12/24/2021
354,100 Birr,3966,396600,12/23/2021
355,50 Birr,14444,722200,12/23/2021
356,25 Birr,35407,885175,12/23/2021
357,15 Birr,46403,696045,12/23/2021
358,5 Birr,51919,259595,12/23/2021
359,10 Birr,106315,1063150,12/23/2021
360,500 Birr,5,2500,12/23/2021
361,250 Birr,4,1000,12/23/2021
362,1000 Birr,2,2000,12/23/2021
363,15 Birr,48763,731445,12/22/2021
364,25 Birr,35524,888100,12/22/2021
365,50 Birr,14795,739750,12/22/2021
366,100 Birr,6735,673500,12/22/2021
367,10 Birr,102148,1021480,12/22/2021
368,5 Birr,52852,264260,12/22/2021
369,250 Birr,5,1250,12/22/2021
370,500 Birr,12,6000,12/22/2021
371,1000 Birr,1,1000,12/22/2021
372,15 Birr,54871,823065,12/21/2021
373,5 Birr,56429,282145,12/21/2021
374,10 Birr,120872,1208720,12/21/2021
375,25 Birr,40550,1013750,12/21/2021
376,50 Birr,12502,625100,12/21/2021
377,100 Birr,4792,479200,12/21/2021
378,500 Birr,5,2500,12/21/2021
379,250 Birr,21,5250,12/21/2021
380,1000 Birr,3,3000,12/21/2021
381,50 Birr,14133,706650,12/20/2021
382,100 Birr,3892,389200,12/20/2021
383,15 Birr,47142,707130,12/20/2021
384,5 Birr,57337,286685,12/20/2021
385,25 Birr,42983,1074575,12/20/2021
386,10 Birr,138952,1389520,12/20/2021
387,250 Birr,2,500,12/20/2021
388,500 Birr,7,3500,12/20/2021
389,1000 Birr,2,2000,12/20/2021
390,10 Birr,70366,703660,12/19/2021
391,15 Birr,31944,479160,12/19/2021
392,100 Birr,1651,165100,12/19/2021
393,5 Birr,35468,177340,12/19/2021
394,25 Birr,23076,576900,12/19/2021
395,50 Birr,7573,378650,12/19/2021
396,500 Birr,2,1000,12/19/2021
397,250 Birr,3,750,12/19/2021
398,100 Birr,3720,372000,12/18/2021
399,15 Birr,44114,661710,12/18/2021
400,25 Birr,31960,799000,12/18/2021
401,50 Birr,13397,669850,12/18/2021
402,10 Birr,102615,1026150,12/18/2021
403,5 Birr,47417,237085,12/18/2021
404,500 Birr,9,4500,12/18/2021
405,250 Birr,9,2250,12/18/2021
406,1000 Birr,3,3000,12/18/2021
407,10 Birr,84780,847800,12/17/2021
408,15 Birr,40876,613140,12/17/2021
409,25 Birr,29500,737500,12/17/2021
410,100 Birr,3131,313100,12/17/2021
411,50 Birr,12176,608800,12/17/2021
412,5 Birr,45235,226175,12/17/2021
413,250 Birr,8,2000,12/17/2021
414,500 Birr,5,2500,12/17/2021
415,1000 Birr,7,7000,12/17/2021
416,50 Birr,10954,547700,12/16/2021
417,10 Birr,96669,966690,12/16/2021
418,25 Birr,33083,827075,12/16/2021
