,Date,Quantity
3,2022-02-06,9942.0
14,2022-02-05,13075.5
22,2022-02-04,13269.0
27,2022-02-03,14711.25
40,2022-02-02,14200.4
44,2022-02-01,14131.666666666666
56,2022-01-31,14450.285714285714
65,2022-01-30,13514.625
71,2022-01-29,13558.888888888889
84,2022-01-28,13456.1
92,2022-01-27,13456.1
101,2022-01-26,13897.3
108,2022-01-25,13837.4
117,2022-01-24,13695.2
129,2022-01-23,13250.3
139,2022-01-22,12679.5
145,2022-01-21,12630.4
154,2022-01-20,12627.7
161,2022-01-19,12193.4
170,2022-01-18,11181.1
176,2022-01-17,11077.6
186,2022-01-16,11729.8
195,2022-01-15,11201.6
209,2022-01-11,11717.9
219,2022-01-10,10442.8
227,2022-01-09,11450.8
234,2022-01-08,12207.6
239,2022-01-07,12225.7
250,2022-01-06,12711.8
261,2022-01-05,15859.9
266,2022-01-04,17962.5
277,2022-01-03,19556.1
285,2022-01-02,23286.0
293,2022-01-01,23306.2
299,2021-12-31,23313.9
302,2021-12-30,21791.3
309,2021-12-29,19992.1
315,2021-12-28,18876.2
323,2021-12-27,19102.9
330,2021-12-26,18554.2
336,2021-12-25,16558.3
348,2021-12-24,14644.8
354,2021-12-23,11806.2
364,2021-12-22,11490.7
375,2021-12-21,12778.7
380,2021-12-20,13898.6
394,2021-12-19,15024.6
400,2021-12-18,15246.2
410,2021-12-17,15610.9
415,2021-12-16,13850.1
426,2021-12-15,13689.2
438,2021-12-14,13188.5
442,2021-12-13,12319.6
452,2021-12-12,12102.9
458,2021-12-11,11356.4
468,2021-12-10,11257.1
478,2021-12-09,10908.4
487,2021-12-08,11156.6
495,2021-12-07,10860.7
506,2021-12-06,10774.0
515,2021-12-05,10908.3
520,2021-12-04,10185.9
532,2021-12-03,10190.6
540,2021-12-02,9977.7
547,2021-12-01,10132.7
558,2021-11-30,9829.4
564,2021-11-29,9647.6
572,2021-11-28,9949.5
581,2021-11-27,9496.1
590,2021-11-26,9384.9
603,2021-11-25,9276.3
609,2021-11-24,9815.2
618,2021-11-23,9987.6
626,2021-11-22,9907.8
642,2021-11-21,10183.6
648,2021-11-20,10095.5
656,2021-11-19,10136.6
663,2021-11-18,9731.7
671,2021-11-17,10067.9
680,2021-11-16,9937.3
690,2021-11-15,9916.5
701,2021-11-14,9771.5
709,2021-11-13,9237.7
716,2021-11-12,9350.5
727,2021-11-11,9188.1
733,2021-11-10,9550.9
744,2021-11-09,9664.1
753,2021-11-08,10269.8
762,2021-11-07,10723.8
771,2021-11-06,10506.7
776,2021-11-05,10501.4
786,2021-11-04,10472.8
793,2021-11-03,11072.2
800,2021-11-02,11217.0
806,2021-11-01,11306.3
818,2021-10-31,11316.3
826,2021-10-30,11097.9
831,2021-10-29,10992.0
839,2021-10-28,10930.4
849,2021-10-27,11449.2
860,2021-10-26,11676.3
867,2021-10-25,11946.4
877,2021-10-24,12052.6
883,2021-10-23,11620.2
896,2021-10-22,11740.4
906,2021-10-21,11775.1
912,2021-10-20,12193.6
920,2021-10-19,11965.7
930,2021-10-18,12063.9
939,2021-10-17,11890.5
946,2021-10-16,11252.2
954,2021-10-15,11373.4
964,2021-10-14,11126.2
974,2021-10-13,11699.8
981,2021-10-12,11793.4
993,2021-10-11,11839.3
1001,2021-10-10,12217.3
1011,2021-10-09,11874.8
1020,2021-10-08,11790.3
1030,2021-10-07,11878.6
